month,avg_high_F,avg_high_C,daily_mean_F,daily_mean_C,avg_low_F,avg_low_C,rain_inches,rain_mm
Jan,47.2,8.4,42.05,5.55,36.9,2.7,5.57,141
Feb,49.9,9.9,43.4,6.3,36.9,2.7,3.5,89
Mar,53.7,12.1,46.5,8.1,39.3,4.1,3.72,94
Apr,58.5,14.7,50.35,10.2,42.2,5.7,2.71,69
May,64.7,18.2,56,13.35,47.3,8.5,1.94,49
Jun,69.9,21.1,60.9,16.1,51.9,11.1,1.57,40
Jul,75.8,24.3,65.7,18.7,55.6,13.1,0.7,18
Aug,76.3,24.6,66.1,18.95,55.9,13.3,0.88,22
Sep,70.5,21.4,61.3,16.3,52.1,11.2,1.5,38
Oct,59.7,15.4,52.75,11.55,45.8,7.7,3.48,88
Nov,50.9,10.5,45.45,7.45,40,4.4,6.57,167
Dec,45.7,7.6,40.65,4.8,35.6,2,5.35,136
